,language/tool,number_repos_with_at_least_one_file,avg_number_of_files_per_repo,max_number_of_file_per_repo,total_number_of_bug_commits,avg_number_of_bug_commits_per_repo,max_number_of_bug_commits_per_repo,avg_number_of_loc_in_file,max_number_of_loc_in_file,avg_ratio_number_of_file_iac_in_repo
0,salt_files,66,10,86,732,13.8113207547,234,50.3805309735,604,0.0960853947175
1,brooklyn_files,3,3,7,4,4.0,4,67.4545454545,151,0.00332989015242
2,vagrant_files,102,2,50,223,4.37254901961,41,56.5400843882,598,0.026438019909
3,ansible_files,522,11,398,8212,28.2164948454,1533,61.951850521,25506,0.0564381409371
4,cloudformation_files,45,6,47,105,6.17647058824,31,219.581993569,1877,0.0655363151305
5,terraform_files,528,11,338,4233,14.3457627119,363,80.8182564439,3375,0.0981983203587
6,compose_files,242,3,129,436,4.88764044944,31,38.6090322581,404,0.0344525372838
7,packer_files,86,9,295,866,20.1395348837,219,171.824133504,3694,0.0471338206786
8,puppet_files,345,22,983,18595,120.746753247,4120,79.8893884892,1683,0.118447483275
9,kubernetes_files,508,6,223,5218,64.4197530864,657,158.496636443,8097,0.0268667681527
10,chef_files,256,21,496,9201,38.4937238494,614,81.7664431962,1940,0.145366829367
